Entreprise,Code Postal,Dirigeant,Nature Juridique,Linkedin
IXARYS (IXARYS),83300,HYPPOLITE PATRICK GEORGES,5710,https://www.linkedin.com/posts/patrick-hyppolite-97808457_recrutement-internationale-ixarys-activity-6982607994509266946-lOqN
LETOBOX (ONEJIBE),83320,VERCRUYSSE SEBASTIEN,5710,https://www.linkedin.com/pub/dir/Sébastien/VERCRUYSSE+
SEALWEB,83200,BORDIER JEROME RENE ADRIEN,5710,https://www.linkedin.com/today/author/jeromebordier
AYMIO,83130,FRAINCART AYMERIC,5710,https://www.linkedin.com/posts/aymericfraincart_indépendantsco-activity-6636270346146201602-KMn0
INFORIM,83250,COLANGELO NICOLAS,5499,https://www.linkedin.com/in/nickcolangelo
SPIRAL (SPIRAL-XEFI TOULON OUEST) (SPIRAL),83110,PIASCO BERNARD,5710,
SARL GUERAPIN (GUERAPIN),83390,PETIT GUILLAUME,5499,https://www.linkedin.com/pub/dir/petit/guillaume
DROP AGENCE,83110,TRIPOLI ANDRE,5710,https://www.linkedin.com/pub/dir/André/Tripoli
POTENTIAL TECHNOLOGY,83000,GIACOMIN THIBAUD,5710,https://www.linkedin.com/pub/dir/thibaud/giacomin
INSYSMA,83140,LOMBARD SEBASTIEN,5710,https://fr.linkedin.com/in/slombard74
"M.G.M (M.G.M. INFRA, M.G.M. SYSTEMS, M.G.M. APPLICATIF, M.G.M. SOLUTIONS)",83600,TABORCIA (DE MARCOS) MURIEL MICHELE SUZANNE,5710,
EVERLONG,83560,SANCHEZ LOIC,5499,https://fr.linkedin.com/in/lsanchez46
PREMS SYSTEMES,83470,FERREIRA PATRICK,5499,https://pt.linkedin.com/in/patrickppferreira
FORENLAB,83470,LAJEUNESSE PHILIPPE MICHEL ANDRE,5710,https://www.linkedin.com/pub/dir/Philippe+/Lajeunesse
AUDITO (AUDITO) (AUDITO),83500,BARTEL PIERRE,5499,https://fr.linkedin.com/in/pierre-bartel
GLOBAL SYSTEME INFRASTUCTURE CONSOLIDATED (GSI CONSOLIDATED),83500,RUFIN SOUMINE NICOLAS,5710,https://in.linkedin.com/company/global-systeme-infrastucture-consolidated
SOCIETE INFORMATIQUE SERVICE,83600,GEOFFROY PASCAL,5710,https://fr.linkedin.com/in/pascal-geoffroy-55591849
SO CLIP !,83150,VAUCHER CHRISTOPHE,5710,https://www.linkedin.com/company/soclip-
IMPEC PRO,83340,TEDERRY DAVID ELIE HAIM,5499,https://fr.linkedin.com/in/david-tederry-0b9a60235
PROJECT OF INTEREST,83190,LEGLISE BERNARD,5710,https://www.linkedin.com/pub/dir/Bernard/Leglise
PURE INFORMATIQUE,83150,NAVARRO JEREMIE GEOFFROY MATHIEU,5499,https://fr.linkedin.com/in/jérémie-navarro-38111542
T BS CONSULTING,83000,MARIN PIERRE JOSEPH,5710,https://www.linkedin.com/pulse/go-digital-tbs-pierre-marin
IT ADVISORS,83320,GREGOIRE PHILIPPE,5710,https://fr.linkedin.com/in/philippe-grégoire-28b336/fr
IMMERSIVE BUSINESS ADVANTAGE (IB-ADVANTAGE),83400,HANNEDOUCHE THIBAUT,5499,https://www.linkedin.com/posts/thibaut-hannedouche-5b726853_iba-made-virtual-live-real-hospitality-activity-6996369106824224768-MBOB
KINOULINK,83140,LUCCIARDI NICOLAS,5710,
B2M CONSULTING,83440,RUAULT BAPTISTE,5499,https://www.linkedin.com/company/b2m-consulting
TAG CONSULTING,83500,MAURAS OLIVIER,5499,https://fr.linkedin.com/in/olivier-mauras-77651543
AHUY,83560,HUYNH DAVID,5499,https://www.linkedin.com/in/dahuynh
JEAN VAN SCHENDEL,83550,VAN SCHENDEL JEAN CLAUDE,5710,https://www.linkedin.com/pub/dir/jean/schendel
M.R.C. CONSULTING,83190,CHRISMANN RAOUL,5710,https://fr.linkedin.com/in/raoul-chrismann-28b643109
GENERAL INFO (GENERAL INFO),83000,ZHANG HONG,5499,https://www.linkedin.com/in/zhang-hong-567665319
IP COM TECHNOLOGY,83530,HONVO (BOUAFFAD) LOUISA,5710,https://www.linkedin.com/pub/dir/louisa/ip
SC CREGI,83210,SPAULT CATHERINE,6599,
SERENITE CONSEIL,83260,CROCHET JEAN-CLAUDE,5710,https://fr.linkedin.com/in/jean-claude-crochet-387817111
DXF INFORMATIQUE,83500,VILARD (VILARD) FREDERIC ALEX,5499,https://www.linkedin.com/pub/dir/Frédéric/Vilard
AB'SYS,83000,CROZE GHYSLAINE,5499,
G-SOFTS,83000,SALIS JEAN-MARC,5499,
TECHNIQUES D'EXPERTISE (TEX),83000,VEYSSIERE CLAUDE JEAN,5499,
PROFILS (SERIS CONSEIL),83400,ROYER GREGORY,5710,https://www.linkedin.com/pub/dir/Gregory/Royer/us-0-United-States
CONSEIL ETUDE REALISATION (CERI INFORMATIQUE),83860,COUDERQ JACQUES RAYMOND MARIUS,5710,
ACANTHE,83136,MANGEL ANTHONY PIERRE FRANCOIS,5499,https://www.linkedin.com/in/anthony-pierre-065479195
ORGANYS SARL,83149,LAURENT MICHEL,5499,https://be.linkedin.com/in/laurent-michel
ISO DC,83300,CAVIGIOLI DIDIER EMILE,5499,
METASTORE FRANCE,83490,VAN DONGEN LEO,5499,https://lu.linkedin.com/in/lionelvandongen
PROGESTEL,83740,ALES CORINNE,5499,
ADSOFT (ADSOFT),83500,DUBOIS ALAIN,5499,https://www.linkedin.com/company/adsoft-solutions-limited
SQUITEL,83440,DEMARE JACQUES PIERRE,5499,https://www.linkedin.com/in/jacques-d-pierre-989754139
M.F.C. MANAGEMENT FORMATION CONSULTANT,83140,DUPONT (DUPONT) CAMILLE NOEMI,5499,
ATTIS,83780,SCHEERS JURGEN,5499,https://be.linkedin.com/in/jurgen-scheers-0b370399
PIGIMMO,83400,ANKAOUA JEAN-CHRISTOPHE,5499,https://fr.linkedin.com/in/jean-christophe-ankaoua-24b14462
WIN-SUPPORT,83500,TESORIERE STEPHANE,5499,https://fr.linkedin.com/in/winmedia
DIGICAP (SARL DIGICAP),83500,CHATARD PHILIPPE,5499,https://www.linkedin.com/company/agencedigicap
S.A.S.L SOCIETE D'ADMINISTRATION DES SERVEURS LINUX,83440,STABILE DIMITRY GERALD GILLES HENRY,5710,
PONSY COMPANY (PONSY COMPANY),83920,PONSAVADY (PONSAVADY) FREDERIC,5499,https://fr.linkedin.com/in/frederic-ponsavady-9575b64
SINOVIA (ENGIE INEO),83140,MARCUCCI JEAN-LOUIS,5202,https://www.linkedin.com/pulse/je-conçois-la-direction-de-performance-comme-un-hub-au-marcucci
ILOGOS (ILOGOS),83500,MALCOR OLIVIER,5499,https://fr.linkedin.com/in/olivier-malcor-688797bb
SOGEMY,83600,FRIGANT REMY,5499,https://fr.linkedin.com/in/rémy-frigant-78a73759
APIGONE,83510,PARET XAVIER JOSEPH,5499,https://www.linkedin.com/pub/dir/Xavier/Paret
SARL 1MAX2WEB (1MAX2WEB),83490,MIJSOOT THIERRY,5499,
NEUROONE,83600,FERRER PHILIPPE,5499,https://www.linkedin.com/pub/dir/ferrer/philippe
SAPALL,83470,GANDON CHRISTIAN,5710,https://www.linkedin.com/in/christiangandon
AESIS CONSEIL,83140,GOIRAND FRANCK,5499,https://fr.linkedin.com/in/franck-goirand-46140194
SYSPARTNER,83440,GRYZ (GRYZ) FREDERIC,5499,
L.P. CONSEIL,83230,PENIN (HERWIG) BRIGITTE,5499,
STUDUO (W GROUPE-UN JOUR MONTREAL-IMMO SQUARE),83310,WELSCH JEAN -MARC,5499,
PRAGMA CONSEIL,83130,TREBOSC PHILIPPE,5499,https://www.linkedin.com/company/pragma-conseil
SARL NTEAM,83150,DANINOS (MUS) SOPHIE,5499,
DATAWARE SYSTEM (DWS),83400,ROGER DOMINIQUE THIERRY,5499,
DIFFUSION TECHNOLOGIE INNOVANTE (DTI),83440,FRACHAT PIERRE PASCAL,5710,https://fr.linkedin.com/in/pierre-pascal-frachat-41060342
ISIS COMMUNICATION (ISIS COMMUNICATION),83260,BELTRANDO STEPHANE,5499,https://www.linkedin.com/in/isis-blachez-1a264b203
ICAM,83140,GROSSO GILLES AUGUSTE,5710,https://www.linkedin.com/pub/dir/Gilles/Auguste
EASEO (EASEO),83110,MALHERBE DAVID,5499,https://fr.linkedin.com/in/david-malherbe-5931518
AGILIS INFORMATIQUE (AGILIS INFORMATIQUE),83400,ANDRIEUX BRUCE,5499,
L.D NETWORK,83120,DENIS LOIC POL GABRIEL,5499,https://fr.linkedin.com/in/loic-denis-9a307b333
SQL SPOT (SQL SPOT) (SQL SPOT),83000,BROUARD FREDERIC LOUIS JEAN,5499,
SOIPP (SOIPP),83300,LOYER (LOYER) ANTOINE FLORIAN ARMAND,5499,https://fr.linkedin.com/in/antoine-loyer-014861a4
ADILIS,83270,ACHARD JULIEN,5710,https://fr.linkedin.com/in/julien-achard-5a7bb03b
AXE PARTNER (AXE PARTNER SANTE),83500,NIEWIADOMSKI THIERRY,5499,https://fr.linkedin.com/in/thierry-niewiadomski-42954629
ABREVIA (ARCADIA INFOS SERVICES),83170,HERAULT PATRICE SERGE CHRISTOPHE JOSEPH,5710,https://fr.linkedin.com/in/patrice-herault-42153511
NOSTRESS,83300,TRAIN WILFRIED LUDOVIC,5710,https://fr.linkedin.com/in/wilfried-train-3546027
ELYPS,83380,LEMERCIER MATTHIEU GUILLAUME RAPHAEL,5499,https://fr.linkedin.com/in/matthieu-lemercier-77b32013
@VALORCONSEIL PACA (VALORCONSEIL PACA),83700,PAVIE OLIVIER PHILIPPE,5710,
CAP 6,83690,DANI NICOLAS FABIEN,5499,https://ca.linkedin.com/in/nfabieno
EURIDIS CONSEIL,83910,AMY CHRISTOPHE,5710,
POINT EXPERT DEVELOPPEMENT,83190,SEGURA ALAIN,5499,https://fr.linkedin.com/in/alain-segura-14b7556a
MAXIMO-PORTAL (MRO MAXIMO),83190,PORTAL CHRISTIAN,5499,https://fr.linkedin.com/in/christian-portal-370869b
BIOMOTIC,83740,ROGER FREDERIC,5710,https://fr.linkedin.com/in/frederic-roger-4283a51b8
WEBNOTORIETE,83260,DELFINO JEAN-YVES,5499,https://fr.linkedin.com/in/jean-yves-delfino
APPLICATIONS DISTRIBUTION SERVICES STAMPBACK (ADS STAMPBACK),83400,CUNY STEPHANE,5499,
A.H.N (FENESTROS.COM),83500,NORRIS HUGH,5499,
I T SYSTEMS,83500,APPLER (APPLER) JULIEN,5499,https://www.linkedin.com/pub/dir/Julien/APPLER
CIBLEMUT (CIBLEMUT),83270,LAMA DAVID,5499,https://fr.linkedin.com/in/david-lama-ciblemut
NO LIMIT DEVELOPMENT (NLD),83110,LIGUORI ARNAUD,5499,https://fr.linkedin.com/in/arnaud-liguori-ab660730/en
INCOMM (INCOMM),83480,DA ROS DOMINIQUE,5710,https://www.linkedin.com/pub/dir/Dominique/Da+Ros
SILICON STORE (SILICON STORE),83160,ATTIA VICTOR,5710,https://www.linkedin.com/in/victorattia
ALERTE INFORMATIQUE (ALERTE INFORMATIQUE),83160,GENUA (GENUA) NICOLAS,5499,
WEB APP ART,83680,FUHRY MAXIME,5710,https://www.linkedin.com/company/web-app-art/
GLORYTECH,83000,ALLALENE-BOUHOURS (ALLALENE) YOHAN,5710,https://www.linkedin.com/company/glorytechsolutions
CRAZYLOG,83260,KBAIER (COTE) HELENE PATRICIA,5710,https://www.linkedin.com/company/crazylog
CORE 2 (CORE 2),83160,BAX EMILIE CRLITA MARIE PHILOMENE,5710,
LARUCHE FRANCE,83680,BAGLIONE CLARA,5710,https://www.linkedin.com/today/author/clara-baglione
SECURITY,83440,SALADINI SANDRO,5710,https://www.linkedin.com/in/alexander-saladini-sr-4773b3320
CYBER CAFE L ARENE,83400,GONZALEZ SAUVEUR,5499,https://www.linkedin.com/pub/dir/Gonzalez/Sauveur
C-LOGIK,83500,CAPOBIANCO FRANCK,5499,https://www.linkedin.com/pub/dir/Franck/Capobianco
SARL FUTURA - SCIENCES,83370,JOSSE GUILLAUME,5499,https://fr.linkedin.com/in/guillaume-josse-63bb5a
AXE-7,83150,PEPATO PATRIC,5499,https://www.linkedin.com/posts/patrick-mccormick-7a0461a6_axeacademy-ar-amazon-activity-7194442323701702656-W27P
BSC INFORMATIQUE (BSC DATA RECOVERY - BSC SECURITE - BSC MOBILE),83400,CHAT SEBASTIEN,5499,
VEOLYS BUILDING SERVICES,83600,ALLAIN NICOLAS,5710,https://fr.linkedin.com/in/nicolas-allain-86398025b
CHEZ TOI (BIG),83120,BORRELI DIDIER,5499,https://www.linkedin.com/pub/dir/didier/borreli
KREODEV,83640,MINATCHY PRISCILLA,5710,https://fr.linkedin.com/in/priscilla-minatchy-36920720
LA WEBBOX (LA WEBBOX),83990,ROUSSIA (CERNA) MARIE,5710,https://fr.linkedin.com/pub/dir/Marie/Roussia
FORUM CONCEPTS FRANCE,83600,GERMAIN DE MONTAUZAN STEPHANE,5710,https://fr.linkedin.com/in/stephane-de-montauzan-82938886
MYPEGASE,83170,STORK ERIC WILLIAM,5710,https://fr.linkedin.com/in/eric-stork-62051931
MULTISOFT DIFFUSION,83260,TISSERON LAURENT,5499,https://fr.linkedin.com/in/laurent-tisseron-495601108
BEXTER (BEXTER),83140,BRAMARDI JACQUES,5499,https://fr.linkedin.com/in/jacques-bramardi-ba734141
WEEKME DIGITAL,83700,BEILLEVAIRE VINCENT,5710,https://fr.linkedin.com/in/vincentbeillevaire/en
ESPRIT CARROSSERIE,83160,BULGARELLI LAURENT HUGUES,5710,https://www.linkedin.com/company/carrosserie-bulgarelli-aix
CONNECT IO,83000,FROMAIN GREGORY JEAN-PAUL,5710,https://www.linkedin.com/pub/dir/Grégory/Fromain
CRAWLER AGENCY (CRAWLER AGENCY) (CWA),83400,MARTIN ERIC PAUL FRANCIS,5710,
LA MAISON DIGITALE,83270,BOREL (LARGOT) LORY,5710,https://www.linkedin.com/company/lamaisondigitale
BOOK TABLE,83500,DA SILVA HYACINTHE,5499,https://www.linkedin.com/pub/dir/Book/Table
LOCALBARGAIN SOLUTIONS SUISSE SARL,83570,IOSUB DENIS MARC LIONEL ANDRE,3120,
ECHOES,83260,HORST PATRICK,5710,https://www.linkedin.com/posts/patrickhorst_echoes-and-volkswagen-group-info-services-activity-7243968225544146944-rOdU
ISOMORPH (ISOMORPH),83200,DUCASE FLORENT-ALEXIS,5499,https://fr.linkedin.com/in/faducase
MALDIVES 3,83980,BRICART JEAN-MARC,5710,
DTV (SARL DTV) (DTV),83110,EYDOUX (EYDOUX) GERARD,5499,
ESOLUTIONS (ESOLUTIONS),83330,VIUDES (PEZET) SOPHIE,5710,https://fr.linkedin.com/in/sophie-pezet-59a21012
SMART INNOVATIVE NETWORK,83440,BONGIORNO MARC ROBERT,5710,
PROVA,83000,PEPATO FRANCK,5710,https://it.linkedin.com/in/frank-prova-6771b895
AGENCYP (AGENCYP),83470,JUSTUS ARUN SUJITH,5710,https://www.linkedin.com/company/agencyp/?viewAsMember=true
OPRED (OPRED),83200,POUJADE MARC,5710,https://fr.linkedin.com/in/marcpoujade
SIX PIXELS,83140,PERIN PASCAL,5499,https://www.linkedin.com/posts/pascal-périn-55069526_six-pixels-à-lhonneur-dans-le-magazine-de-activity-6475786586226196480-5unE
PLANET NETWORK (START MINING),83500,BARRAGAN SAIMI,5710,https://fr.linkedin.com/in/saimi-barragan-45a7501a9
RGB VIKING,83200,SEBAR MICHEL,5499,https://www.linkedin.com/pub/dir/Michael/Sebar
FRANCE IP COMMUNICATION,83130,DELAYE REMY,5710,https://www.linkedin.com/posts/rémy-delaye-24265645_c-votre-emploi-du-mercredi-17-mai-2023-activity-7066290765638815744-vt4r
COMPROX TECHNOLOGIES (COMPROX TECHNOLOGIES),83190,MUGUET REYNALD,5710,https://fr.linkedin.com/in/reynald-muguet
ONE UP,83200,ROLLAND SEBASTIEN,5710,https://ca.linkedin.com/in/sebrolland
S.F.A.P (SFAP),83640,CHEVALIER BERNARD HENRI,5710,
POLE AGORA (JEFF CONCEPT),83000,LEGRAS JEAN-FRANCOIS,5710,https://fr.linkedin.com/in/jean-francois-legras-b5809637
CROSS DATA RIDE,83440,HAGE DIB HADI,5499,https://www.linkedin.com/in/hadi-hage-a93aab223
3W DEVELOPPEMENT,83000,SAYER LAURENT,5710,https://fr.linkedin.com/in/laurent-sayer-56023b108
ITAM,83300,CASTRO MONTEIRO NUNO FILIPE,5499,https://www.linkedin.com/pub/dir/Nuno+Filipe/Monteiro
YSMV SOFTWARE (YSMV SOFTWARE) (YSMV),83530,BOUDAUD JEAN-CLAUDE HENRI,5499,https://www.linkedin.com/company/ysm-yazilim
CUBICAL DRIFT,83440,THOMAZEAU MICHEL PIERRE,5710,https://fr.linkedin.com/in/michel-thomazeau
PARTELEC,83640,BELLET CATHERINE JEANNE MARIE,5499,
WINIX (WINIX),83300,RICCIO BERNARD EDMOND JEAN,5710,
ECRAN BLEU,83370,POURCEL MICHEL JEAN-CLAUDE FRANCOISE,5499,
EXPLOREDGE,83000,BESSET JEAN-LUC,5710,https://www.linkedin.com/pub/dir/besset/jean-luc
CARDIFF,83270,BURSTERT FRANCOIS,5710,https://fr.linkedin.com/in/jean-paul-poirot-1b35a3113
BETI SOFT,83440,LAMACCHIA GIL,5499,https://fr.linkedin.com/in/gil-lamacchia-4764b0a9
UTOPIA ELECTRONICS (UTOPIA ELECTRONICS),83600,FRECHET LEONARD MARCEL ROBERT,5710,
E- FROGG,83270,LOMBRAGE BENJAMIN,5499,https://www.linkedin.com/company/e-frogg
DBC (DENIS BILLO CONSULTANT),83310,BILLO DENIS BENOIT,5499,
E.WORLD CONCEPT SAS,83910,BENOIT CEDRIC,5710,
NETISYS,83440,STEFANI GUILLAUME JEAN MARC,5710,https://fr.linkedin.com/in/guillaume-stefani-496336202
LE CUBE,83170,HOFMANN JEAN-LUC,5710,https://www.linkedin.com/pub/dir/Jean-Luc/Hofmann
ZATYOO (ZATYOO),83480,BOVIS ERIC,5710,https://fr.linkedin.com/in/eric-bovis-a1b7801a
CREAGICIEL (CREAGIDEM),83500,DEMOISSON CHRISTOPHE,5499,https://fr.linkedin.com/in/creagidem
LA PANGEE INNOVATION (LPI),83170,HOFMANN JEAN-LUC,5499,
SYPRO TECHNOLOGIES (SYPRO),83400,LAURENT JULIEN,5499,https://fr.linkedin.com/in/julien-laurent-b9064a9a
CONSULOG,83210,GUERVILLE ALBAN,5710,https://fr.linkedin.com/in/alban-guerville-770287201
